__run_id,__done,function_name,version,cpu_time,memory_usage,avg_cpu_time,avg_memory_usage,total_cpu_time,total_memory_usage,total_energy
run_1_repetition_13,DONE,Fibonacci,memoized,0.000448;0.000416;0.000422,4.02;10.20;3.99,0.000429,6.07,0.004077,18.20,0.000000
run_2_repetition_13,DONE,Knapsack,normal,0.000558;1.719965;9.570993,1.92;13.62;1.77,3.763839,5.77,11.295104,17.32,97.171341
run_3_repetition_13,DONE,Knapsack,memoized,0.000459;0.019342;0.022016,2.82;293.32;272.48,0.013939,189.54,0.045393,568.62,0.160698
run_4_repetition_13,DONE,Coin Change,normal,0.005747;0.125828;5.904181,6.12;5.35;4.64,2.011919,5.37,6.038983,16.11,53.102737
run_5_repetition_13,DONE,Coin Change,memoized,0.001023;0.000655;0.000485,6.55;5.68;5.31,0.000721,5.85,0.005179,17.54,0.000000
run_6_repetition_13,DONE,Levenshtein Distance,normal,0.008396;1.491692;7.984982,6.75;4.09;2.46,3.161690,4.43,9.488447,13.30,79.063644
run_7_repetition_13,DONE,Levenshtein Distance,memoized,0.001422;0.001293;0.000986,9.70;10.81;7.00,0.001234,9.17,0.007211,27.52,0.000000
run_8_repetition_13,DONE,Factorial,normal,0.002126;0.553005;1.657934,41.23;2120.77;3814.47,0.737689,1992.16,2.216394,5976.47,22.553349
run_9_repetition_13,DONE,Factorial,memoized,0.002621;0.588725;0.337093,52.83;16975.85;41979.58,0.309480,19669.42,0.932213,59008.26,8.882223
run_10_repetition_13,DONE,Matrix Chain Multiplication,normal,0.007767;0.291138;2.324405,4.64;3.10;2.31,0.874437,3.35,2.626238,10.04,17.684395
run_11_repetition_13,DONE,Matrix Chain Multiplication,memoized,0.001959;0.002080;0.001875,6.19;5.53;6.50,0.001971,6.07,0.008795,18.22,0.000000
run_12_repetition_13,DONE,Can I Win,normal,0.003043;0.670072;1.598123,3.27;2.38;1.46,0.757079,2.37,2.274126,7.12,22.186164
run_13_repetition_13,DONE,Can I Win,memoized,0.000851;0.038663;0.056649,6.41;142.80;289.01,0.032054,146.07,0.099143,438.22,0.419352
run_14_repetition_13,DONE,K-equal Sum Partitions,normal,0.001228;0.027538;0.107096,10.26;143.49;291.90,0.045287,148.55,0.139366,445.65,0.297894
run_15_repetition_13,DONE,K-equal Sum Partitions,memoized,0.001333;0.026218;0.170375,10.08;159.39;332.10,0.065975,167.19,0.200529,501.57,0.217314
run_16_repetition_13,DONE,All Possible Full Binary Trees,normal,0.003331;0.720423;2.500769,17.25;19781.12;65674.71,1.074841,28491.03,3.227911,85473.08,28.417084
run_17_repetition_13,DONE,All Possible Full Binary Trees,memoized,0.001413;0.081485;0.259082,5.23;3709.71;9214.40,0.113993,4309.78,0.345209,12929.34,0.882735
run_0_repetition_14,DONE,Fibonacci,normal,0.000438;0.742728;4.308291,3.66;8.51;2.38,1.683819,4.85,5.054477,14.55,46.054601
run_1_repetition_14,DONE,Fibonacci,memoized,0.000713;0.000626;0.000436,4.02;10.20;3.99,0.000591,6.07,0.004615,18.20,0.000000
run_2_repetition_14,DONE,Knapsack,normal,0.000625;1.532567;9.355652,1.92;13.62;1.77,3.629615,5.77,10.892770,17.32,106.704040
run_3_repetition_14,DONE,Knapsack,memoized,0.000489;0.024217;0.013906,2.82;293.32;272.48,0.012871,189.54,0.041616,568.62,0.261012
run_4_repetition_14,DONE,Coin Change,normal,0.004532;0.101951;5.775282,6.12;5.35;4.64,1.960588,5.37,5.885204,16.11,51.033558
run_5_repetition_14,DONE,Coin Change,memoized,0.001141;0.000896;0.000654,6.55;5.68;5.31,0.000897,5.85,0.006489,17.54,0.000000
run_6_repetition_14,DONE,Levenshtein Distance,normal,0.007707;1.378240;8.157995,6.75;4.09;2.46,3.181314,4.43,9.547370,13.30,89.040191
run_7_repetition_14,DONE,Levenshtein Distance,memoized,0.000708;0.001308;0.000965,9.70;10.81;7.00,0.000994,9.17,0.005928,27.52,0.000000
run_8_repetition_14,DONE,Factorial,normal,0.001488;0.472382;1.673090,41.23;2120.77;3814.47,0.715653,1992.16,2.150960,5976.47,17.609177
run_9_repetition_14,DONE,Factorial,memoized,0.002692;0.545614;0.399570,52.83;16975.85;41979.58,0.315959,19669.42,0.950931,59008.26,4.875220
run_10_repetition_14,DONE,Matrix Chain Multiplication,normal,0.010899;0.337360;2.281982,4.64;3.10;2.31,0.876747,3.35,2.633578,10.04,21.613750
run_11_repetition_14,DONE,Matrix Chain Multiplication,memoized,0.001565;0.001796;0.001946,6.19;5.53;6.50,0.001769,6.07,0.009442,18.22,0.000000
run_12_repetition_14,DONE,Can I Win,normal,0.001497;0.729239;1.566296,3.27;2.38;1.46,0.765677,2.37,2.300924,7.12,20.764918
run_13_repetition_14,DONE,Can I Win,memoized,0.001883;0.036950;0.063851,6.41;142.80;289.01,0.034228,146.07,0.104854,438.22,0.294412
run_14_repetition_14,DONE,K-equal Sum Partitions,normal,0.001255;0.025927;0.115623,10.26;143.49;291.90,0.047602,148.55,0.146135,445.65,0.244702
run_15_repetition_14,DONE,K-equal Sum Partitions,memoized,0.001690;0.029842;0.177284,10.08;159.39;332.10,0.069605,167.19,0.211568,501.57,0.234943
run_16_repetition_14,DONE,All Possible Full Binary Trees,normal,0.003220;0.714709;2.433244,17.25;19781.12;65674.71,1.050391,28491.03,3.154720,85473.08,27.266486
run_17_repetition_14,DONE,All Possible Full Binary Trees,memoized,0.001332;0.081899;0.250451,5.23;3709.71;9214.40,0.111227,4309.78,0.336959,12929.34,0.670230
run_0_repetition_15,DONE,Fibonacci,normal,0.000784;0.672250;3.994679,3.66;8.51;2.38,1.555904,4.85,4.671007,14.55,42.291827
run_1_repetition_15,DONE,Fibonacci,memoized,0.000790;0.000419;0.000428,4.02;10.20;3.99,0.000546,6.07,0.004751,18.20,0.000000
run_2_repetition_15,DONE,Knapsack,normal,0.000639;1.605028;9.407781,1.92;13.62;1.77,3.671149,5.77,11.017152,17.32,102.788823
run_3_repetition_15,DONE,Knapsack,memoized,0.000604;0.019337;0.019069,2.82;293.32;272.48,0.013003,189.54,0.041716,568.62,0.136991
run_4_repetition_15,DONE,Coin Change,normal,0.004332;0.106325;5.703921,6.12;5.35;4.64,1.938192,5.37,5.817758,16.11,55.978648
run_5_repetition_15,DONE,Coin Change,memoized,0.001267;0.000812;0.001084,6.55;5.68;5.31,0.001054,5.85,0.007404,17.54,0.000000
run_6_repetition_15,DONE,Levenshtein Distance,normal,0.009198;1.432208;7.921343,6.75;4.09;2.46,3.120916,4.43,9.366726,13.30,94.234131
run_7_repetition_15,DONE,Levenshtein Distance,memoized,0.001290;0.001344;0.000428,9.70;10.81;7.00,0.001021,9.17,0.006130,27.52,0.000000
run_8_repetition_15,DONE,Factorial,normal,0.002219;0.491946;1.745468,41.23;2120.77;3814.47,0.746544,1992.16,2.242871,5976.47,21.312437
run_9_repetition_15,DONE,Factorial,memoized,0.002772;0.580711;0.395589,52.83;16975.85;41979.58,0.326357,19669.42,0.982685,59008.26,4.119560
run_10_repetition_15,DONE,Matrix Chain Multiplication,normal,0.010097;0.336218;2.429479,4.64;3.10;2.31,0.925265,3.35,2.779066,10.04,21.557123
run_11_repetition_15,DONE,Matrix Chain Multiplication,memoized,0.001905;0.002494;0.000851,6.19;5.53;6.50,0.001750,6.07,0.008615,18.22,0.000000
run_12_repetition_15,DONE,Can I Win,normal,0.001607;0.725456;1.731709,3.27;2.38;1.46,0.819591,2.37,2.461707,7.12,20.850749
