__run_id,__done,function_name,version,cpu_time,memory_usage,avg_cpu_time,avg_memory_usage,total_cpu_time,total_memory_usage,total_energy
run_2_repetition_11,DONE,Knapsack,normal,0.000521;0.231611;0.552775,1.92;12.11;1.69,0.261636,5.24,0.788498,15.72,1.643138
run_3_repetition_11,DONE,Knapsack,memoized,0.000679;0.011813;0.019359,2.82;120.63;264.07,0.010617,129.17,0.035003,387.51,0.100505
run_4_repetition_11,DONE,Coin Change,normal,0.003684;0.106485;5.789992,6.12;5.35;4.64,1.966720,5.37,5.904016,16.11,49.054754
run_5_repetition_11,DONE,Coin Change,memoized,0.001258;0.000845;0.000953,6.55;5.68;5.31,0.001019,5.85,0.005684,17.54,0.000000
run_6_repetition_11,DONE,Levenshtein Distance,normal,0.010314;0.031241;8.401269,6.75;2.17;4.27,2.814275,4.40,8.446201,13.19,73.813002
run_7_repetition_11,DONE,Levenshtein Distance,memoized,0.000868;0.000514;0.001284,9.70;4.99;9.38,0.000889,8.03,0.005915,24.08,0.000000
run_8_repetition_11,DONE,Factorial,normal,0.002267;0.506093;1.672478,41.23;2120.77;3814.47,0.726946,1992.16,2.183755,5976.47,18.284436
run_9_repetition_11,DONE,Factorial,memoized,0.002363;0.555545;0.364140,52.83;16975.85;41979.58,0.307350,19669.42,0.925527,59008.26,4.865853
run_10_repetition_11,DONE,Matrix Chain Multiplication,normal,0.010494;0.327196;2.299535,4.56;3.07;2.20,0.879075,3.28,2.640035,9.83,19.705254
run_11_repetition_11,DONE,Matrix Chain Multiplication,memoized,0.001353;0.002281;0.000762,6.25;5.53;6.47,0.001465,6.08,0.007561,18.25,0.000000
run_12_repetition_11,DONE,Can I Win,normal,0.001423;0.707284;1.534932,3.27;2.38;1.46,0.747880,2.37,2.246899,7.12,15.621577
run_13_repetition_11,DONE,Can I Win,memoized,0.001660;0.035114;0.059980,6.41;142.80;289.01,0.032251,146.07,0.100319,438.22,0.318777
run_14_repetition_11,DONE,K-equal Sum Partitions,normal,0.001215;0.023321;0.113308,10.26;143.49;291.90,0.045948,148.55,0.140754,445.65,0.198948
run_15_repetition_11,DONE,K-equal Sum Partitions,memoized,0.001337;0.028689;0.173053,10.08;159.39;332.10,0.067693,167.19,0.206400,501.57,0.332457
run_16_repetition_11,DONE,All Possible Full Binary Trees,normal,0.003610;0.730961;2.458055,17.25;19781.12;65674.71,1.064209,28491.03,3.195244,85473.08,28.015140
run_17_repetition_11,DONE,All Possible Full Binary Trees,memoized,0.000719;0.082324;0.256731,5.23;3709.71;9214.40,0.113258,4309.78,0.343401,12929.34,0.845780
